Contract Name
Air Pollution Recovery Indicators -  Assessing potential indicators of recovery from air pollution through monitoring air quality and ecological parameters at Skipwith Common SAC
Dynamic Purchasing System for Professional Services in Construction and Premises 2024 UK
2025 - Public Consultation Support Services
"Contract for the Management of the Portreath Parish Public Toilets, TR16 4NN"
"RFQ 2025/27 - PEACEPLUS – Living History Archiving Project, Castlewellan Historic Demesne"
715348451 Provision of the Defence Medical Leadership Programme (DMLP)
Wick Playground Refurbishment
Online Streaming and Online Training Services (2)
Direct Payments
"Special Educational Needs and Disability Information, Advice and Support Service (SENDIASS) 2026"
Connect to Work - Market Engagement
End to End Debt Management
CSC25164 Holiday Activities and Food Programme (HAF) Open Framework
"QW Qualification Reviewers for Travel, Tourism, Hospitality and Catering Qualifications"
ITT 20/2025 - PEACEPLUS “Thriving Together” Community Led Health and Wellbeing Programmes
T25-149BUS Delivery of an Inclusive Employment Programme for DCSDC LMP
"RFQ 2025/33 - NMANDD PEACEPLUS Local Action Plan Cultural Programme – “A History of Social Housing in Newry and Mourne” for the Newry, Mourne and Down District Council area"
Oliver McGowan Accreditation
Children Residential Placements
Semi independent services
Projecting UK Biodiversity Indicators into the future
Pre Market Engagement Event for Recycling Materials Outlet Management
Met Office Academic Partnership (MOAP) Science Delivery Framework 2
Independent Fostering Agencies
Automated Stress Free Temperature (SFT) Indentifcation
Family Link Worker Service
Framework to provide Supply Agency Staff Services
Payment Exception Service - Amended Notice
Automated Joint Closure Temperature Identification
Automated ballast profile Identification
Market Engagement Event for Suppliers of Independent Supported Living for Adults with Mild/Moderate Needs
Provision and Management of  Creative Mentoring Service
PS25300 - Quantum Infrastructure Directory
Practice Supervision – London Pharmacy
Drive Domestic Abuse Perpetrator Intervention  - CPA/SPU/2667P
T2567c PEACEPLUS Multiculturalism to Interculturalism Cross Community Language and Cultural Access Project
RFQ 2025/34 - PEACEPLUS Community Led Shared History and Culture Programme Port and Town
Engineering Inspection Services II (including insurance)
Re procurement Next Step/Leadership and Management - Pre-market engagement
Construction Professional Services DPS
"Information, Advice and Guidance Service (Preliminary Market Engagement)"
Elmswell Gate Park and Play Area Facilities
Resettlement Integration Service
EVALUATION OF THE PLACE BASED CARE PROGRAMME
e-ITT for the provision of Digital Skills Training for NFDC Staff
Young Persons Homelessness Prevention Service  GMCA
Resettlement Support Service
Development of vertically straight fusion blanket segment demonstrator including technology development identification
Refugee Welcome Programme - Employment Support
"NHS South West London ICB  - Long-Term Conditions (LTC) Community Outreach, Expert Patient Programme (EPP) LTC Self-Management And Pentathlon Healthy Lifestyle Programme Services."
Employment Support for Benefit Claimants
Preliminary market engagement notice - National Centre for Arts and Music Education
Integrated Lifestyle Service - Direct Award C
"VCSE Structure & Strategy to NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE (BNSSG) INTEGRATED CARE BOARD (ICB)"
"Salford Healthy Child Programme,0-19 Service"
Economic Security Forum [Brussels]
Pitcairn Marine Coastal Walkway Feasibility Research
WSCC-Day Opportunities and Prevention Services 2025
Community Equipment – Pressure Care and Beds Pre-Market Engagement Questionnaire
Community Equipment – Seating Pre-Market Engagement Questionnaire
PSR Direct Award A Notice - CAMHS ADHD Assessment tool
Education Healthcare Plan Writing
C002133 - Delivery and evaluation of Systemic and Family Therapy training for staff working in Child and Adolescent Mental Health Services (CAMHS) in Scotland.
P6336 Locality Action Plan
Callington Skate Park
Provision of Residential and Nursing Care
Crisis House including a Safe Haven provision in Darlington
Wyville Thomson Ridge (0924S) Imagery Analysis
Market Engagement -  Lead Employer Contract - North East
Test Valley Water Cycle Study
Pre Engagement Marketing for the  Domestic Abuse and Sexual Violence Supported Accommodation Refuge Service for Victim/Survivors.
Invitation to a Preliminary Market Engagement Event - Sandwell Community Dementia Service
Family Weight Management Service
SN250527 - RFQ - Pilot Level 1 Parent Infant Relationship (PIR) Intervention
Neurodevelopmental and Mental Health Services NH2100
Provision of Domestic Abuse Safe Accommodation and Support
CS6027 - Family Support Service
Direct Payment Support Services
Independent Disability and Sensory Impairment Equipment Support and Advice Service
Apprenticeships and Education Services Framework
Provision of a Family Wellbeing Service in Neonatal Intensive Care Unit and the Community
Meet the Buyer / Market Engagement Event for Overnight Short Breaks with Outreach Support Service for Children and Young People with Disabilities (0-18 years old) in Herefordshire
Reactive Maintenance Framework and Associated Services
"Provision of Care Services at Stadium View, St Helens"
Reducing Loneliness and Isolation through Shared Activities for Older Adults
Merton Community Dementia services
Tees Valley Mental Health Training Hub
Framework Agreement for the Provision of Outreach / Respite Support for Children with Disabilities
Young Persons Homelessness Prevention Service
Framework Agreement for the Provision of Employability Services
CPG/13063/2025 - Provision of Outplacement Services for DBT LATAC
NSDC-1003 Ollerton Town Centre Cinema Fit Out and Operator
A Support Service for Parents/Carers of Children and Young People Affected by or at risk of Extra-Familial Exploitation and/or who Repeatedly go missing in York and North Yorkshire
Provision of Digital Skills Training
Unpaid Carers Services
"Barking and Dagenham,Havering and Redbrige Simple Post Op Wound Care Service- Together First"
"Barking and Dagenham,Havering and Redbrige Simple Post Op Wound Care Service New Cross Alliance"
"Barking and Dagenham,Havering and Redbrige Simple Post Op Wound Care Service Havering Health"
Birmingham Virtual School Enrichment Framework
Parent-Infant Relationship: Pregnancy Bonding and Attachment Training
A Work in default below threshold Framework Agreement
Ofsted Registered Young People’s Supported Accommodation for 16 and 17 year olds
AfC Short Breaks After School Service Windsor & Maidenhead.
Driver Training
Weight Management Procurement
RFQ 2025/32 - NMANDD PEACEPLUS   “Thriving Together”  Community Led Shared History and Culture Programme - Exploring the past and the future for Celtic Languages & Ulster Scots
"Young Carers Information, Support and Outreach Service"
Energy Technology List Pipeline Notice
Complex AWD Residential Framework reopening 2025
Grass & Hedge Cutting & Grounds Maintenance
Deddington Parish Council Grass & Hedge Cutting & Grounds Maintenance
0-19 Children's Public Health Nursing Service
Families First for Children Pathfinder
Information and Advice for Unpaid Carers and People with Disabilities
"RFQ2025/35 - NMANDD PEACEPLUS Local Action Plan Cultural Programme – “Disability and Creativity Festival” for the Newry, Mourne and Down District Council area."
"UK4 Tender Notice -  CHILDREN AND YOUNG PEOPLE’S HOMECARE, PASSENGER ASSISTANCE AND COMMUNITY CARE OPEN FRAMEWORK"
Leadership programme for senior leaders
Supporting Those Bereaved by Suicide
Request for Application for Voluntary and Community Sector Fund 2026-2029
Employability Support Services Flexible Framework
Provision of anti-social behaviour (ASB) / non-crime restorative service
"3 Lots- Adult Mental Health & LD - Welfare Advice, Rainbow Connectors, Community Advocacy"
Better Care Fund 26/27
Housing Support linked to Short Term Accommodation and Emergency Temprorary Accommodation for Young People
T25-172BUS Development and Delivery of a HGV and PCV Transport Employment Academy for DCSDC LMP
BHCC  Adult Social Care Learning Disability Services
DHSC:ASC: Better Care Fund 2026 - RFI
DHSC:ASC: Better Care Fund Support Programme 26/27- RFI
Housing Support Linked to Short Term Accommodation and Emergency Temporary Accommodation
25076 Homecare framework
NECS523 NEAS Third-Party 111 Online and Primary Care Speak To Services CP
Full Potential: Employability Training Provider for Care-Experienced Young People
End of Life Care Support Service
Web Content Designer
Towards development of a UK peatland indicator framework
NEPRO x Financial Resilience
Contracts for Innovation: In-Orbit Demonstration (IOD) of In-Orbit Manufacturing (IOM) in Low Earth Orbit (LEO) Phase 0/A Studies
Training Services for Adults (Open Framework)
Behaviour Support Service for Children and Young People with Learning Disabilities and Autism
Work Opportunities Service
25090 Mental Health Recovery and Inclusion Service
T25-173BUS Development and Delivery of a security Academy for DCSDC LMP
The Provision of Income Maximisation Service for unpaid Carers
Westborough & Park Barn - Architect Services
Discharge Support Service with Digital task Management
HAC6135 Antill Road Learning Disability Service
NEET Prevention and Early Intervention Services
Technical Services and Assurance Framework
Group Clinics Support - H&G Accelerators
BIRMINGHAM CHILDREN'S TRUST - MARKET ENGAGEMENT   SPEECH AND LANGUAGE THERAPY (SALT) SERVICE
Kent’s Domestic Abuse Referral Hub (DARH)
Market Sounding Questionnaire (MSQ) for Inclusive Growth (IG) Framework
Workforce Development Services for Care Providers in Suffolk
"Market Engagement Event – Learning Disabilities, Autism and Mental Health Framework"
"RFQ 2025/36 - NMANDD PEACEPLUS Local Action Plan Cultural Programme – “World Textiles” for the Newry, Mourne and Down District Council area."
Expanding Quality Early Education and Childcare Fund Manager and Investor - Preliminary Market Engagement (PME) Notice
Coordination of the Holiday Activities and Food (HAF) Programme in Somerset
Holiday Activities and Food (HAF) services DPS (SC240025)
Disability and Diversity and Inclusion Advertising
Educational Services Procured Services Arrangement (PSA)
Provision of HR Senior Leadership Coaching Services
"DoJ - NIPS - Provision of Psychological Risk Assessment Reports to identify offending pathways, treatment-planning needs and meet Public Protection requirements within the Northern Ireland Prison Service"
Facilities Management and Security Services
Marketing & Creative Services Framework
Skerton School and Mainway Regeneration - Preliminary Market Engagement
Local Development Plan Green Belt Review
"Mental health, suicide awareness and mental wellbeing training"
Market Engagement Event - CPH130 Social Connectedness Service
Supported Accommodation Framework
SOL Solihull Sanctuary Scheme: Target Hardening Security Measures 2026
Asylum Support Services in Buckinghamshire
Pre Market Engagement Domestic Abuse Refuge Support Service
Social Prescribing Service
Kirklees Intervention and Support Service
Ofsted Registered Young People's Supported Accommodation for 16 and 17 year olds
Development of the Daily Active8 Domains Resource
CTU Market Analysis
Dynamic Purchasing System for the Provision of Domiciliary Care Services in Powys
Evaluation of Community Diagnostic Centres
Accommodation based Housing Related Support (HRS) Service for Lot 1 (Medium to High Needs) and Lot 2 ( Low to Medium Needs)
"Invitation to Tender - West Suffolk Council - Clerk of Works, Advanced Manufacturing and Engineering Centre, Bury St Edmunds, Suffolk"
Carers Wellbeing Partnership
Pre-Market Engagement for Training Advanced Ambulance Driving Instruction
Community Based Day Opportunities for Adults 18+
UK Consumer Segmentation Research
Research & Insights DPS
Tewkesbury Market Operator
Evidence-Based Early Years Maths Programme
Child Home Safety Equipment
Connect to Work
25/025 Street Market Operator
DHSC: Request for Information Fair Pay Agreement: Negotiation and sector support
Education Durham Select List of Specialist Providers
Invitation to Tender - West Suffolk Council - Strategic Environmental Assessment/Sustainability Appraisal to support preparation of West Suffolk Local Plan
FRA086 Digital Services Framework
CWC25011 - Independent Specialist Education Provision Light Touch Framework
Provision of Insurance and Related Services to Sussex Housing & Care
Responsible Body for Conservation Covenant at Greatham North East
"Skills Bootcamp - Wave 6, Round 1 - Category 4, Engineering, Manufacturing Technologies and Vehicle Operations"
"Skills Bootcamp - Wave 6, Round 1 - Category 18, Bespoke/Niche Training"
Provision of NHS Health Checks Point Of Care Testing (POCT) Equipment For North Northamptonshire Council
Supply Chain and Social Value Consultancy
Call for Sponsorship - Fleadh Cheoil na hÉireann 2026
Systemic and Trauma Informed Short Course
Provision of an Oral Health Workforce Training Programme
Accredited Mediation Programme
HOUSING AND HEALTH PUBLIC HEALTH NEEDS ASSESSMENT
Provision of Post Diagnostic Support for Dementia
Bikeability Cycle training Contract
Cafcass Framework CAF592-25 for Enabling Family Time
Emotional Health and Wellbeing in Schools and Colleges
PS25001 - Scientific Research and Advice for Government Dynamic Purchasing System - Ongoing DPS Application
The provision of Detoxification and Rehabilitation services for under 18s
Update of JNCC Deep-Sea Sponge Aggregation (DSSA) Guidance
South Norwood Care Home for Complex Needs
SCAPE Professional Services and Development Framework
Engineering and Technical Consultancy
Community Wellbeing Services
Sexual Health Services in Primary Care
Appropriate Adult Service for Children and Young
e-ITT for the provision Cash Collection Services across the Hampshire Region (HIOWPP Framework Agreement and Call-Off Contract)
Wave 6 Skills Bootcamp - REVISED PROCUREMENT
Care and Support at Home
"25/020  The Provision of the Storage, Maintenance & Installation of Christmas Lights"
Tender 22/2025 - NMANDD PEACEPLUS   “Thriving Together” Bloom and Branch: A Greening Project for People and Wildlife
Sport & Active Wellness Kit
Framework Agreement for the Provision of CCTV Services
Mental Health Supported Accommodation - Property Availability
GLA Technical Support to Green Roots Fund and Strategic Projects
Independent and Non-Maintained Special Schools (INMSS) Contract - CN260427
Diversion from offending & early intervention programme
Block Contracting Opportunity for Nursing Care Home Placements via the NWL Older Adults DPS
001322 - Children's Homes Solution
CS6025 - Children and Young People's Supported Housing Pathway
Gloucestershire County Council Pathway 2 Beds
Youth Custody Accommodation and Services at Oakhill (Milton Keynes) Preliminary Market Engagement
ID 6020932 DAERA - CAFRE - Horticulture Pilot Scheme
Northamptonshire Children's Trust Provision of Personal Care and Support Services for Children and Young People with Disabilities.
Market Engagement Event for Voices in Recovery: A Lived Experience Evaluation of Substance Use Service
Army Apprenticeship Programme Royal Signals and Intelligence Corps Service
T25-176BUS Development and Delivery of an Inclusive Employment Academy for DCSDC LMP
CO6119A Film Location Contract
Mill Hall Arts & Events Centre Operator
DoJ - Providing and Managing a 24 Hour Domestic and Sexual Abuse Helpline
BT350 - WCC CurateOn - Business Support Guides - Running a High Street Business
Neutral Vendor Managed Service Framework for Technical and Professional Services (NEUTAPS)
Domestic Abuse Intensive Family Support
WCC Market Testing for the provision of Children's Independent Domestic Violence Advocates (CHIDVAs) & Domestic Abuse (DA) Prevention
Above Threshold Smoking Grant V3
Bikeability Training 2025
Online Academic Writing Support
"Strength and Balance Service for West Essex, Mid Essex, Southwest Essex and Southeast Essex"
Short Breaks and Family Support Services for Disabled Children and Young People and their Families (Market Engagement)
Water Testing Services
WCC Housing Needs Integrated Singles and Outreach Services
Framework for the provision of investment advisory services for real estate investment activity within The Crown Estate's Urban and Windsor & Rural businesses.
Soft Market Testing for Voluntary Community Faith Social Enterprise Sector - Infrastructure Support   South Tyneside
Strategic Flood Risk Assessment
EDUCATION PSYCHOLOGY SERVICE IN RUTLAND
Short Breaks Services for Disabled Children and Young People and their Families (Market Engagement)
Pan London Sexual Violence Support Service
Rough Sleeping - Homes Off the Streets
Creative Agency
Soft Market Test for Respite Service Solutions
Supported Employment Services
Adult Cycle Training - Request for Quotations
Community Preventative Services- Preliminary Market Engagement Event
Short Breaks Targeted Support Pilot
Delivery and evaluation of CBT for staff working in CAMHS and IPT training for staff working in MH services inc CAMHS/AMS
RFQ 2025/37 - PEACEPLUS 3.7 Newry Canal and Our Engineering Heritage
Multi Criteria Decision Analysis Stage 2 – Adaptation of historic buildings and structures to coastal erosion - UID 132
Victim Services
HAC6120 Public Health Enhanced Services in Primary Care
Non-School Alternative Provision / Education other then in school or college - Social Emotional Mental Health (SEMH) and Vocational  Framework
Southampton Adults Alcohol & Drug Support Service
Active Recovery Beds 2025
Framework for Home Care Services in Herefordshire - Meet the Buyer / Market Engagement Event
Housing Maintenance & Repair
TENDER TO PROVIDE SPORT AND PHYSICAL ACTIVITY SESSIONS
UK Power Networks Customer Vulnerability Enduring Partnerships
BwD Special Educational Needs & Disabilities (SEND) Services
PHW-RFQ-61171 - Managing Successful Programmes Training
A Health Economic Evaluation Framework And Bespoke Analysis For AMR Diagnostic Technologies
Early Retirement Cohort - Inactivity Trailblazer Programme
Broad Cohorts Research - Inactivity Trailblazer Programme
PHW-RFQ-61172 - Senior Responsible Officers Training
Invitation to Tender to join the Framework for Education - Alternative Education Provision (AP) in Herefordshire
Reflect Project
"Outdoor Fitness and Recreation Equipment Installation (Calisthenics Rig, Multi-Use Games Area Upgrade, and Rebound Wall)"
"2026 ECITB Scholarships Programme: ENGLAND (NORTHEAST, NORTHWEST & HUMBER BANK)"
2026 ECITB Scholarship Programme (London & South West)
2026 ECITB Scholarship Programme (East Coast)
2026 ECITB Scholarship Programme (SCOTLAND: Central Belt)
0-19 Childrens Public Health Nursing Service
Connect to Work Supported Employment Programme
Havering Short Breaks Provider Framework - Market Engagement
Child Poverty Reduction Programme - Provision of Advice and Guidance in Community Settings and Schools
ThermoChimie Phase 4
Supported Accommodation for Rough Sleepers (Clare House)
Alternative Provision Framework - Market Engagement
Commissioning Homes for Children Looked After & Care Leavers PDPS - Lot 4 Rd 5
Procure4Education Northern Ireland 2025
DVSA Publishing Services with The Highway Code and The Highway Code for Northern Ireland
Sutton Community Energy Capacity Building and Set-Up Support - London Borough of Sutton
Bikeability Instructors
Carriage of hazardous chemicals and dangerous goods training
Home Support Service
Market Engagement Event - Recommissioning Housing-Related Support for People Experiencing Multiple Disadvantage in Sheffield
Residential Rehabilitation and Day Care Service
Adoption and Special Guardianship Data Collection and Analysis
Close Cleaning and Grounds Maintenance Services
Family Group Conferencing (FGC 09/25)
RFQ 2025/38 PEACEPLUS 3.7 Reimaging the History Mental Health Care
AT1453 Community Carers Support Service
Spinnaker Tower Operator
WSCC Independent Alternative Provision (IAP)
Behavioural Insights Training
The Provision of two Children’s Care homes in Cardiff
Heritage Project Activity and Interpretation Plan
NHS ICB SE Region - GP and Corporate IT Optimisation Programme
"New children's playground, Sterndale Moor"
Out of Hours Service
Heavitree Court Rough Sleeping Complex Needs Project
Understanding the Heritage Dividend UID 112/NP 389
Provision of Residential and Nursing Care for Older People (Aged 65+)
Professional Learning Services Framework
e-ITT for the provision of Dudley Avenue Recreation Ground - Access and Open Space Enhancement Works
Supported Living DPS
Bawtry Town Hall Toilet Refurbishment
Muon Tomography
DGM/2052 Segmented Sourcing Strategy
Food Wise Coordinator and Activity Contract
"Procurement, Commercial and Sustainable Training Framework"
The Provision of a Multi-Cultural Music and Dance Programme
Suicide Prevention Service for Men Over 18 Years of Age
EHRC 2526-17 Behavioural Insights Training
CPU2484 Children in Care Residential Block Contract
IA3354 Alternative Provision Light Touch Framework
Early Help Parenting Support Service
ESNEFT2711 Intellectual Property Advice
"TVCA-PROC-0632 - Pre-Tender Market Engagement - Full Business Case Development for access improvements at North Road Railway Station, Darlington"
F40R CONSULTANCY SERVICES FRAMEWORK
Young People Supported Accommodation
Microsoft 365 Training
P6348 Rationalisation of Industrial Units Biddulph
Provision of Exercise on Referral and Tier 2 Weight Management service
Foodbank Plus 2025
Transcription Services
Print & Distribution of Brochures for Middlesbrough Town Hall & Theatre
Joint or Separate Delivery of Digital Directory Platform/Microenterprise Support Services
Domestic Abuse Safe Accommodation
Provision of Wellbeing and Support Services for Individuals Involved in Fitness to Practise and Hearings Processes
Carers Hub for the Borough of Hammersmith & Fulham
Advantage Schools - ICT Managed Service
Renewable and Low-Carbon Energy Landscape Sensitivity Assessment
Cognitive Stimulation Therapy Service for people with mild to moderate Dementia
"RFQ 2025/39 - NMANDD PEACEPLUS “Thriving Together” Community Led Shared History & Culture Programme  ‘Sacred Spaces: Churches, Chapels & Meeting Houses of Slieve Gullion DEA’"
Wilson's School ICT Managed Service
Fleet and Waste Driver Training
Children and Young Peoples Support Service
Home (Domiciliary) Care Service
C390630 Integrated Research Delivery Solution
Best Start Family Hubs Match Fund partner - Preliminary Market Engagement (PME) Notice
PA072 - Direct Payment Workforce Recruitment and Development Service
Carers Support Service
Flexible Framework for Vocational and Skill Based Interventions
"PROVISION OF SPECIALIST SUPPORTED LIVING (SSL) SERVICES AT PENCOED, BRIDGEND"
"PROVISION OF A SPECIALIST SUPPORTED LIVING (SSL) SERVICE AT MAESTEG, BRIDGEND"
"PROVISION OF A COMPLEX SUPPORTED LIVING SERVICE (‘CLOSER TO HOME’ SCHEME) AT CLOS PENGLYN, PENCOED"
Soft Market Test for Carers Support Service
"PTP Computer Based Exam Venues in Aktau, Kazakhstan"
Early Years Delivery Partners & Early Years Training Partners Contracts -  Preliminary Market Engagement
Early Years Delivery Partners & Early Years Training Partners Contracts
SQE 1&2 Study Management and Support
Commissioning Homes for Children Looked After & Care Leavers PDPS - Lot 2 Rd 7
Commissioning Homes for Children Looked After & Care Leavers PDPS - Lot 1 Rd 6
Commissioning Homes for Children Looked After & Care Leavers PDPS - Lot 3 Rd 3
Mechanical and Electrical M&E Consultancy Services
the provision of Ex-Offender Supported Accommodation Services
"Payments, Appointeeships and Disbursement Services (PADS)"
Provision of stray dogs service in H&F
T25-174BUS Delivery of an Inclusive Contact Centre Academy for DCSDC LMP
Shopmobility and Demand Responsive Transport Services
Mental Health Supported Housing Project
LW157 Bid Writing and Proposal Development Support
"Framework Agreement for the Provision of Music Related Services to children, young people, and families"
Temporary staff and permanent recruitment for hard to fill posts
T153 Executive Search Partner
CPH083 Provision of Adult Integrated Drug and Alcohol Treatment and Recovery Service
MARKET ENGAGEMENT - Supported Accommodation - Salford City Council
External Advisor on Valuations
Gwasanaethau Gwaith Allweddol a Chymorth i Deuluoedd yn Gyntaf 2026  /  Families First Keyworking and Family Support Services 2026
ANDBC Tender for the Provision of Advice Services
PROVISION OF THE DERBYSHIRE INTEGRATED SEXUAL HEALTH SERVICE
LCRCA - Delivery Partner - Supported Employment Quality Framework
FEW1510 - Provision of Adults Social Care Services For Best Interests Assessors Service
Holiday Activities and Food Service (HAF)
SWAST-5073-COR AET Courses
Provision for Bulk Waste Removal
Patient Safety Syllabus Training Levels 3 and 4
"Provision of a Resettlement, Orientation and Re-integration Service"
Circular Construction Hub(s) in Scotland – Feasibility Study
Our Communities Specialist Support Services
CPU 7935 Mortuary Services
Carers Support Service   I-4805
ID 5998126 - DE - Independent evaluation of the RAISE programme
Market Engagement - National Lead Employer Model
Review of Key Human Resources Policies to Support Wrexham County Borough Council Change Agenda
Prosiect ymchwil i gefnogi comisiynu adnoddau llythrennedd yn y dyfodol / Research project to support the future commissioning of literacy resources
Contract for the Provision of Independent Advice and Information Service in Swansea
Recruitment Services Framework
Collett Park Gateway
Ticket Protection
Young Persons Homelessness Pathfinder
International Student Recruitment - In Country
Park Tennis Coaching in Southwark 2026 - 2030
WCC Cycle Training Courses Bikeability
Evaluation of the Skills Bootcamps Programme
Autism Support Service
"Market Testing for Autism, ADHD and Learning Disability Coproduction Support"
National Security Science and Research (NSSR) Successor Contract
New Year's Eve (NYE) Event Framework 2026-2029
Family Group Conferencing
Soft Market Testing - Nottinghamshire County Council Assessment placement framework for children-in-care
"Supported Living Services for Individuals with a Learning Disability, Autistic Spectrum Conditions and/or Mental Health Conditions (aged 16+)"
Home-Based Detoxification Support
Water Sports and Outdoor Activity at Hamworthy Park
Prevention Demonstrator Impact Evaluation Scoping Study
F4OR Consultancy Services – Business Excellence Framework
The Specialist Care Framework
HAC6137 East London Apartments
Payments Appointeeships and Disbursement Services
HAC6121 Children’s Oral Health Specialist Service
Vision Impairment Rehabilitation and Habilitation Services
Marketing Advertisement & Creative Services Framework
Gloucestershire Sanctuary Scheme
